category;title;price;available_quantity;sold_quantity;permalink
fire stick;Amazon Fire Tv Stick;7000;1;0;https://articulo.mercadolibre.com.ar/MLA-857318804-amazon-fire-tv-stick-_JM
fire stick;Amazon Fire Tv Stick 2da Gen With Alexa C/ Remoto Original;17756.81;50;0;https://articulo.mercadolibre.com.ar/MLA-880456993-amazon-fire-tv-stick-2da-gen-with-alexa-c-remoto-original-_JM
fire stick;Ethernet Adapter For Tv Stick, Fire Stick Ethernet Adapte...;3980;1;0;https://articulo.mercadolibre.com.ar/MLA-871616472-ethernet-adapter-for-tv-stick-fire-stick-ethernet-adapte-_JM
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb;7500;1;0;https://articulo.mercadolibre.com.ar/MLA-899808232-amazon-fire-tv-stick-4k-de-voz-4k-8gb-_JM
fire stick;Amazon Fire Tv Stick 2nd Generation;6000;1;0;https://articulo.mercadolibre.com.ar/MLA-902428739-amazon-fire-tv-stick-2nd-generation-_JM
fire stick;Amazon Fire Tv Stick 4k Ultra Hd Con Mando Por Voz Alexa;7950;1;0;https://articulo.mercadolibre.com.ar/MLA-900255320-amazon-fire-tv-stick-4k-ultra-hd-con-mando-por-voz-alexa-_JM
fire stick;Fire Stick Tv Amazon;5500;1;0;https://articulo.mercadolibre.com.ar/MLA-899668053-fire-stick-tv-amazon-_JM
fire stick;Amazon Fire Tv Stick 4k Ultra Hd Con Mando Por Voz Alexa;7800;1;0;https://articulo.mercadolibre.com.ar/MLA-900665600-amazon-fire-tv-stick-4k-ultra-hd-con-mando-por-voz-alexa-_JM
fire stick;Amazon Fire Tv Stick Stream Alexa Hdmi Smart 2gen. Fact A B;8374.98;1;3;https://articulo.mercadolibre.com.ar/MLA-761960328-amazon-fire-tv-stick-stream-alexa-hdmi-smart-2gen-fact-a-b-_JM
fire stick;Amazon Fire Tv Stick 2da Generacion Voz Full Hd 8gb;8787.45;1;0;https://articulo.mercadolibre.com.ar/MLA-876021480-amazon-fire-tv-stick-2da-generacion-voz-full-hd-8gb-_JM
fire stick;Amazon Fire Tv Stick 2da Generacion Voz Full Hd 8gb;11055.45;1;0;https://articulo.mercadolibre.com.ar/MLA-876020942-amazon-fire-tv-stick-2da-generacion-voz-full-hd-8gb-_JM
fire stick;Amazon Fire Tv Stick Con Alexa Voice Remote 2da Gen N Cuotas;11022;1;2;https://articulo.mercadolibre.com.ar/MLA-823994592-amazon-fire-tv-stick-con-alexa-voice-remote-2da-gen-n-cuotas-_JM
fire stick;Amazon Fire Tv Stick Con Alexa Voice Remote 2da Gen Netflix;8611;1;5;https://articulo.mercadolibre.com.ar/MLA-823995213-amazon-fire-tv-stick-con-alexa-voice-remote-2da-gen-netflix-_JM
fire stick;Amazon Fire Tv Stick 4k De Voz 4k 8gb Negro Con Memoria Ram;23019.21;250;0;https://articulo.mercadolibre.com.ar/MLA-880457320-amazon-fire-tv-stick-4k-de-voz-4k-8gb-negro-con-memoria-ram-_JM
google home mini;Google Home Mini Asistente Virtual Esp Fuente Caja Cerrada;4599;1;100;https://articulo.mercadolibre.com.ar/MLA-899061743-google-home-mini-asistente-virtual-esp-fuente-caja-cerrada-_JM
google home mini;Google Home Mini Asistente Virtual Spotify Netflix Youtube;4281;1;5;https://articulo.mercadolibre.com.ar/MLA-897398235-google-home-mini-asistente-virtual-spotify-netflix-youtube-_JM
google home mini;Google Home Mini Asistente Virtual;6999;1;250;https://articulo.mercadolibre.com.ar/MLA-829306982-google-home-mini-asistente-virtual-_JM
google home mini;Google Home Mini Español Parlante Virtual Con Fuente Spotify;5499;1;50;https://articulo.mercadolibre.com.ar/MLA-763381285-google-home-mini-espanol-parlante-virtual-con-fuente-spotify-_JM
google home mini;Google Home Mini Asistente Virtual En Español Con Fuente;4810;1;50;https://articulo.mercadolibre.com.ar/MLA-873210691-google-home-mini-asistente-virtual-en-espanol-con-fuente-_JM
google home mini;Google Home Hub Asistente Virtual Mini - Youtube Spotify * *;27899;1;5;https://articulo.mercadolibre.com.ar/MLA-763563652-google-home-hub-asistente-virtual-mini-youtube-spotify--_JM
google home mini;Google Home Mini Asistente Virtual Youtube Spotify Sin Caja;3499;500;150;https://articulo.mercadolibre.com.ar/MLA-880459351-google-home-mini-asistente-virtual-youtube-spotify-sin-caja-_JM
google home mini;Google Home Mini Asistente Virtual Español Sotify Youtube;4281;1;5;https://articulo.mercadolibre.com.ar/MLA-900670986-google-home-mini-asistente-virtual-espanol-sotify-youtube-_JM
google home mini;Google Home Mini Asistente Virtual Netflix Youtube Gtia;4892;500;5;https://articulo.mercadolibre.com.ar/MLA-897516343-google-home-mini-asistente-virtual-netflix-youtube-gtia-_JM
google home mini;Google Nest Mini 2 Asistente Virtual Tiza Fact A-b;6261.22;1;5;https://articulo.mercadolibre.com.ar/MLA-829590498-google-nest-mini-2-asistente-virtual-tiza-fact-a-b-_JM
google home mini;Soporte Stand Estilo Reloj Para Google Home Mini Negro;6639;1;0;https://articulo.mercadolibre.com.ar/MLA-860966498-soporte-stand-estilo-reloj-para-google-home-mini-negro-_JM
google home mini;Google Home Mini Parlante Virtual C/fuente Spotify Sin Caja;3499;500;25;https://articulo.mercadolibre.com.ar/MLA-880462434-google-home-mini-parlante-virtual-cfuente-spotify-sin-caja-_JM
google home mini;Google Home Mini Asistente Virtual Spotify Netflix Youtube;5999;1;5;https://articulo.mercadolibre.com.ar/MLA-865566225-google-home-mini-asistente-virtual-spotify-netflix-youtube-_JM
google home mini;Google Home Asistente Virtual / Spotify Youtube Netflix;19640;1;5;https://articulo.mercadolibre.com.ar/MLA-773304180-google-home-asistente-virtual-spotify-youtube-netflix-_JM
google home mini;Parlante Google Home Mini Asistente Virtual Voz Garantia;5799;1;2;https://articulo.mercadolibre.com.ar/MLA-869795421-parlante-google-home-mini-asistente-virtual-voz-garantia-_JM
google home mini;Google Home Mini Asistente Virtual En Español Sin Caja Nuevo;3499;500;50;https://articulo.mercadolibre.com.ar/MLA-880461992-google-home-mini-asistente-virtual-en-espanol-sin-caja-nuevo-_JM
google home mini;Parlante Google Nest Mini 2 Asistente Virtual Español Smart;6999;1;0;https://articulo.mercadolibre.com.ar/MLA-902472258-parlante-google-nest-mini-2-asistente-virtual-espanol-smart-_JM
google home mini;Google Home Mini En Español Asistente Virtual Sin Caja Nuevo;4499;500;5;https://articulo.mercadolibre.com.ar/MLA-880462252-google-home-mini-en-espanol-asistente-virtual-sin-caja-nuevo-_JM
google home mini;Google Home Mini Asistente Virtual Original Android iPhone;5799;1;1;https://articulo.mercadolibre.com.ar/MLA-869796950-google-home-mini-asistente-virtual-original-android-iphone-_JM
